,cw_type+fold,34,50,56,67
0,bl015_fold_0,1.0,1.0,1.430934358985398,1.0
1,bl015_fold_1,1.0,1.0,1.4057082111157675,1.0
2,bl015_fold_2,1.0,1.0,1.4279808467248907,1.0
3,bl015_fold_3,1.0,1.0,1.4190121767421304,1.0
4,bl015_fold_4,1.0,1.0,1.408649389706584,1.0
5,bl015_fold_5,1.0,1.0,1.4324955270794173,1.0
6,bl1_fold_0,1.6290731219333774,1.0,3.3280543438712793,1.8310298730568912
7,bl1_fold_1,1.634096771003521,1.0,3.3028281960016486,1.8300732703544158
8,bl1_fold_2,1.6321611973313443,1.0,3.325100831610772,1.8263764084730898
9,bl1_fold_3,1.633543367558296,1.0,3.3161321616280115,1.8273832889072068
10,bl1_fold_4,1.6324374785874187,1.0,3.305769374592465,1.8300732703544158
11,bl1_fold_5,1.6302293628682587,1.0,3.3296155119652986,1.8320955157351837
12,skl_fold_0,1.27478656017626,0.4113347551763974,6.9710090361445785,1.560077519379845
13,skl_fold_1,1.2812067533905342,0.41139353003910417,6.797356828193832,1.5585858585858585
14,skl_fold_2,1.2787292817679559,0.41150324473286515,6.95045045045045,1.5528346192552835
15,skl_fold_3,1.2804979253112032,0.41143009510265754,6.888392857142857,1.5543989254533244
16,skl_fold_4,1.2790826195081515,0.4115398293029872,6.817378497790869,1.5585858585858585
17,skl_fold_5,1.2762613730355665,0.41102823654768245,6.981900452488688,1.561740890688259
